n_slots,h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
14,7,3,30,0.19242154740051887,-0.1819178582337445,1.057738636925234,1.156743436263316,0.16409491950181748,406179.7121396714
14,7,7,3,0.19090387453995428,-0.1822041284952498,1.047747249837598,1.110981906977242,0.17067669765097762,402080.5426294492
14,7,7,7,0.19441726831189587,-0.18270498286044612,1.0641049043549942,1.1170398760490219,0.17269830442614464,411625.6647230513
14,7,7,14,0.21240902077563018,-0.18172869719800178,1.1688248694382086,1.173482887066551,0.17794244263181447,463677.504310887
14,7,7,30,0.21509579435037796,-0.18631695637903278,1.15446172227502,1.1486620853959664,0.1847723449143191,471924.66800804075
14,7,14,3,0.2558446051549288,-0.16889242859499531,1.5148376234700558,1.2336882604958648,0.20135637408552948,613713.8179443344
14,7,14,7,0.26008261280241407,-0.16911738331200776,1.5378821958389866,1.2399579853712936,0.20338401020431854,630403.6864960437
14,7,14,14,0.27728845145576275,-0.1683655557138969,1.6469428695199286,1.2878641568977092,0.20694965019937686,702309.9807303409
14,7,14,30,0.2823732626000788,-0.1728733182106157,1.633411480284405,1.2657079424183115,0.21501123521654184,724888.4474592367
14,7,30,3,0.3589623566283304,-0.22903394430130486,1.5672888912749923,1.3170894553158767,0.25843003623662086,1150583.888837234
14,7,30,7,0.36377835092937927,-0.22903394430130475,1.5883163172128407,1.3245083355299367,0.25995406301389823,1183462.5706701009
14,7,30,14,0.3836353996783328,-0.22903394430130486,1.675015469207667,1.3663835298954,0.2632221894426938,1327865.434839321
14,7,30,30,0.38885669155352254,-0.22903394430130486,1.6978124912434962,1.3533965551031337,0.2698049580050438,1368302.1607478333
