n_slots,hold_days,cagr,mdd,calmar,sharpe,vol,final
7,10,0.8843093777006281,-0.3275422751297915,2.6998327997514604,1.533087124955416,0.4937416499164184,15539049.206900572
7,14,0.9964578857084514,-0.3177072542739314,3.136402686132222,1.6608536137590462,0.48956839974452393,24626026.91128927
7,21,0.8222002202597489,-0.45902808034429754,1.7911763037308117,1.5060863535964755,0.47405862907031415,11898538.124456093
7,30,0.7073703083540066,-0.4592042393288587,1.5404263457755756,1.4024930571695138,0.45707363103204296,7085210.781546294
7,45,0.7432972380884666,-0.5103537682216417,1.4564352893455268,1.428107639517338,0.467310805285165,8363356.891530639
7,60,0.920076315496557,-0.42021776025473934,2.1895226773347214,1.6789534633305139,0.4504476446405337,18049452.614528712
8,3,0.3370784295000351,-0.16059176080968762,2.09897710692329,1.4623184026244809,0.21490376442666048,1011031.9434003944
8,5,0.566738065024196,-0.2505841152060587,2.261667961507295,1.5231042620826867,0.3315722107417333,3572982.071122708
8,7,0.7992685800940584,-0.3202132484262489,2.49605094112196,1.5649185839581155,0.4375115792569149,10756935.804411925
8,10,0.8792413713191289,-0.3252172831244726,2.7035505704738667,1.5318067840764313,0.4917965422284184,15209289.084803501
8,14,1.010322474738199,-0.28240231316670916,3.5775998553587636,1.6856406736543863,0.4852236029850833,26021478.660991132
8,21,0.8413772730913067,-0.474092331586195,1.7747118378318156,1.5280665457051583,0.4741548337797727,12933177.896344228
8,30,0.7084270647206647,-0.44568802723146517,1.5895133399056909,1.4163187561194512,0.451195912631646,7120212.517476144
8,45,0.7231688829411442,-0.5093662833651943,1.4197423476156203,1.4078625890679133,0.464987960775085,7624499.728384222
8,60,0.8977274572959228,-0.4219896852306696,2.1273682478878686,1.663065274574332,0.446692800991974,16442498.62642727
10,3,0.30723150192187076,-0.1716310511544047,1.7900694533734205,1.644697570618689,0.1722726998501542,844653.9451222983
10,5,0.5045349199749578,-0.22396909373151264,2.252698850403793,1.6410548439206283,0.2719852358473946,2587641.2420262313
10,7,0.6727275075950945,-0.25261098528512926,2.6630968041067877,1.6173994050565865,0.35861622208405125,6017961.811827335
10,10,0.9047223471356034,-0.31592755722347754,2.8637019039641114,1.5576033738573862,0.4927035702326471,16931429.69161864
10,14,0.9826062376708353,-0.2828332228733793,3.474154230144084,1.6666296426640956,0.4812661719510279,23297669.896945383
10,21,0.8273766178238791,-0.4521810734422461,1.8297462375535583,1.5168816070524136,0.4719620124599155,12170418.392907014
10,30,0.7937043146505369,-0.3282014454891612,2.4183449694061414,1.5295538222132343,0.44920187175990817,10494827.553834781
10,45,0.7418038659722872,-0.5086075736565385,1.4584994490727454,1.4315186694863058,0.46474940478015503,8306466.947836978
10,60,0.8792938070932628,-0.42323907625327184,2.077534557719056,1.6546290163352155,0.4417607325147951,15212669.341859732
12,3,0.21726384437829127,-0.10333546370446367,2.1025099863069214,1.4997861212989616,0.1377034296159441,478672.81426830334
12,5,0.34966766775693614,-0.15529815888790977,2.251589267129157,1.4979946083312803,0.21626028391715424,1089380.7875778717
12,7,0.5155640805223682,-0.19490949806702262,2.6451460069179573,1.5643414309042973,0.29411606220683645,2742631.2408313947
12,10,0.703089329485358,-0.2807664909686971,2.5041782125052308,1.5113139486002496,0.40843422639562293,6944951.336680228
12,14,0.9588434683771148,-0.28442841958412746,3.371123988872394,1.6470805950474514,0.4789638618482034,21164352.702724807
12,21,0.8260209695647851,-0.44546919983028477,1.8542717877677812,1.5235123542800366,0.46834519708533856,12098695.75411277
12,30,0.8775051192416581,-0.31455999306245097,2.7896272208635353,1.636497387723419,0.4473902359914442,15097732.371232305
12,45,0.7181985732267566,-0.46778346298911366,1.5353227081553986,1.4263749610726006,0.4526583117554455,7451094.776119049
12,60,0.8482954771739455,-0.4214180861887351,2.012954604881458,1.6351760924350223,0.4350407938421532,13325277.515391061
14,3,0.18308371996244244,-0.09117220384079705,2.0081089657779834,1.4699126565250826,0.1194949932506518,381526.80388848466
14,5,0.29588309446266225,-0.1498138107055873,1.9750054622409208,1.4704954497738694,0.18876931965777624,787988.9813010398
14,7,0.4220311465388127,-0.20181767714050358,2.0911505499342287,1.492185828432559,0.2589438825497357,1651317.2592202518
14,10,0.5981057982393572,-0.23419231802724516,2.553908698959867,1.4958430410980694,0.3566758402537669,4184055.893578169
